Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
The Shining,1980,83,94373,"Though it deviates from Stephen King's novel, Stanley Kubrick's","Jack Torrance (Jack Nicholson) becomes winter caretaker at the isolated Overlook Hotel in Colorado, hoping to cure his writer's block....",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
Shoplifters,2018,99,111326,"Understated yet ultimately deeply affecting,","On the margins of Tokyo, a dysfunctional band of outsiders is united by fierce loyalty and a penchant for petty...",Hirokazu Koreeda,"Lily Franky, Sakura Andô, Mayu Matsuoka, Kirin Kiki"
Shrek,2001,88,95662,"While simultaneously embracing and subverting fairy tales, the irreverent","Once upon a time, in a far away swamp, there lived an ogre named Shrek (Mike Myers) whose precious solitude...",Andrew Adamson,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow"
The Silence of the Lambs,1991,95,109139,"Director Jonathan Demme's smart, taut thriller teeters on the edge between psychological study and all-out horror, and benefits greatly from stellar performances by Anthony Hopkins and Jodie Foster.","Jodie Foster stars as Clarice Starling, a top student at the FBI's training academy. Jack Crawford (Scott Glenn) wants Clarice...",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine"
Singin' in the Rain,1952,100,113335,"Clever, incisive, and funny, Singin' in the Rain is a masterpiece of the classical Hollywood musical.",A spoof of the turmoil that afflicted the movie industry in the late 1920s when movies went from silent to...,Stanley Donen,"Gene Kelly, Debbie Reynolds, Donald O'Connor, Jean Hagen"
The Sixth Sense,1999,86,94141,"M Night Shayamalan's The Sixth Sense is a twisty ghost story with all the style of a classical Hollywood picture, but all the chills of a modern horror flick.",Young Cole Sear (Haley Joel Osment) is haunted by a dark secret: he is visited by ghosts. Cole is frightened...,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams"
Slumdog Millionaire,2008,91,102993,"Visually dazzling and emotionally resonant,","As 18-year-old Jamal Malik (Dev Patel) answers questions on the Indian version of ""Who Wants to Be a Millionaire,"" flashbacks...",Danny Boyle,"Dev Patel, Freida Pinto, Madhur Mittal, Anil Kapoor"
Snow White and the Seven Dwarfs,1937,97,121967,"With its involving story and characters, vibrant art, and memorable songs,","The Grimm fairy tale gets a Technicolor treatment in Disney's first animated feature. Jealous of Snow White's beauty, the wicked...",David Hand,"Adriana Caselotti, Harry Stockwell, Lucille La Verne, Moroni Olsen"
Solaris,1972,93,102391,,A psychologist is sent to a space station orbiting a planet called Solaris to investigate the death of a doctor...,Andrei Tarkovsky,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetskiy"
Some Like It Hot,1959,95,103451,,"After witnessing a Mafia murder, slick saxophone player Joe (Tony Curtis) and his long-suffering buddy, Jerry (Jack Lemmon), improvise a...",Billy Wilder,"Tony Curtis, Jack Lemmon, Marilyn Monroe, George Raft"
The Sound of Music,1965,83,93416,"Unapologetically sweet and maybe even a little corny,","A tuneful, heartwarming story, it is based on the real life story of the Von Trapp Family singers, one of...",Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn"
Spider-Man: Into the Spider-Verse,2018,97,119380,,"Bitten by a radioactive spider in the subway, Brooklyn teenager Miles Morales suddenly develops mysterious powers that transform him into...",Bob Persichetti,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
Spirited Away,2001,96,104114,,10-year-old Chihiro (Daveigh Chase) moves with her parents to a new home in the Japanese countryside. After taking a wrong...,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Jason Marsden, Susan Egan"
Star Wars: Episode IV - A New Hope,1977,93,108697,"A legendarily expansive and ambitious start to the sci-fi saga, George Lucas opened our eyes to the possibilities of blockbuster filmmaking and things have never been the same.","The Imperial Forces -- under orders from cruel Darth Vader (David Prowse) -- hold Princess Leia (Carrie Fisher) hostage, in...",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
Star Wars: Episode V - The Empire Strikes Back,1980,95,106957,"Dark, sinister, but ultimately even more involving than","The adventure continues in this ""Star Wars"" sequel. Luke Skywalker (Mark Hamill), Han Solo (Harrison Ford), Princess Leia (Carrie Fisher)...",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
Straight Outta Compton,2015,89,100943,,"In 1988, a groundbreaking new group revolutionizes music and pop culture, changing and influencing hip-hop forever. N.W.A's first studio album,...",F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr."
Sunset Boulevard,1950,98,114587,"Arguably the greatest movie about Hollywood, Billy Wilder's masterpiece Sunset Boulevard is a tremendously entertaining combination of noir, black comedy, and character study.",An aging silent film queen refuses to accept that her stardom has ended. She hires a young screenwriter to help...,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson"
Superbad,2007,88,96177,"Deftly balancing vulgarity and sincerity while placing its protagonists in excessive situations,",High school seniors Seth and Evan have high hopes for a graduation party. The co-dependent teens plan to score booze...,Greg Mottola,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader"
Superman: The Movie,1978,94,102239,,"Just before the destruction of the planet Krypton, scientist Jor-El (Marlon Brando) sends his infant son Kal-El on a spaceship...",Richard Donner,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder"
Suspiria,1977,94,100566,The blood pours freely in Argento's classic,"Suzy (Jessica Harper) travels to Germany to attend ballet school. When she arrives, late on a stormy night, no one...",Dario Argento,"Jessica Harper, Stefania Casini, Joan Bennett, Eva Axén"
The Tale of the Princess Kaguya,2013,100,103909,"Boasting narrative depth, frank honesty, and exquisite visual beauty,","A tiny nymph found inside a bamboo stalk grows into a beautiful and desirable young woman, who orders her suitors...",Isao Takahata,"Chloë Grace Moretz, James Caan, Mary Steenburgen, Darren Criss"
Tangerine,2015,96,103768,,"After hearing that her boyfriend/pimp cheated on her while she was in jail, a transgender sex worker and her best...",Sean Baker,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan"
Taxi Driver,1976,89,110067,"A must-see film for movie lovers, this Martin Scorsese masterpiece is as hard-hitting as it is compelling, with Robert De Niro at his best.","Suffering from insomnia, disturbed loner Travis Bickle (Robert De Niro) takes a job as a New York City cabbie, haunting...",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel"
The Terminator,1984,100,106142,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why","Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill...",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Terminator 2: Judgment Day,1991,91,98806,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.","In this sequel set eleven years after ""The Terminator,"" young John Connor (Edward Furlong), the key to civilization's victory over...",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Thelma & Louise,1991,86,100139,"Driven by ride-or-die chemistry between Geena Davis and Susan Sarandon while director Ridley Scott provides scorching visuals fit for a postcard,","Meek housewife Thelma (Geena Davis) joins her friend Louise (Susan Sarandon), an independent waitress, on a short fishing trip. However,...",Ridley Scott,"Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen"
There Will Be Blood,2007,91,100854,"Widely touted as a masterpiece, this sparse and sprawling epic about the underhanded ""heroes"" of capitalism boasts incredible performances by leads Daniel Day-Lewis and Paul Dano, and is director Paul Thomas Anderson's best work to date.","Silver miner Daniel Plainview (Daniel Day-Lewis) leads a hardscrabble life with his son, H.W. (Dillon Freasier). When he hears about...",Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds"
The Thing,1982,84,92378,"Grimmer and more terrifying than the 1950s take, John Carpenter's The Thing is a tense sci-fi thriller rife with compelling tension and some remarkable make-up effects.","In remote Antarctica, a group of American research scientists are disturbed at their base camp by a helicopter shooting at...",John Carpenter,"Kurt Russell, Wilford Brimley, T.K. Carter, Richard Dysart"
The Third Man,1949,99,115403,"This atmospheric thriller is one of the undisputed masterpieces of cinema, and boasts iconic performances from Joseph Cotten and Orson Welles.","Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who...",Carol Reed,"Orson Welles, Joseph Cotten, Trevor Howard, Alida Valli"
This Is Spinal Tap,1984,96,101836,"Smartly directed, brilliantly acted, and packed with endlessly quotable moments,","""This Is Spinal Tap"" shines a light on the self-contained universe of a metal band struggling to get back on...",Rob Reiner,"Rob Reiner, Michael McKean, Christopher Guest, Harry Shearer"
Titanic,1997,88,106646,"A mostly unqualified triumph for James Cameron, who offers a dizzying blend of spectacular visuals and old-fashioned melodrama.","James Cameron's ""Titanic"" is an epic, action-packed romance set against the ill-fated maiden voyage of the R.M.S. Titanic; the pride...",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
To Be or Not to Be,1942,96,103597,"A complex and timely satire with as much darkness as slapstick, Ernst Lubitsch's",Acting couple Joseph (Jack Benny) and Maria Tura (Carole Lombard) are managing a theatrical troupe when the Nazis invade Poland....,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart"
To Kill a Mockingbird,1962,93,101196,,"Scout Finch (Mary Badham), 6,and her older brother, Jem (Phillip Alford), live in sleepy Maycomb, Ala., spending much of their...",Robert Mulligan,"Gregory Peck, Mary Badham, Phillip Alford, John Megna"
Tokyo Story,1953,100,106584,,"The elderly Shukishi (Chishu Ryu) and his wife, Tomi (Chieko Higashiyama), take the long journey from their small seaside village...",Yasujirô Ozu,"Chishu Ryu, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura"
Tootsie,1982,91,95988,,New York actor Michael Dorsey (Dustin Hoffman) is a talented perfectionist who is so hard on himself and others that...,Sydney Pollack,"Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman"
Total Recall,1990,82,88139,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.",Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars....,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
Toy Story,1995,100,107027,"Entertaining as it is innovative,","Woody (Tom Hanks), a good-hearted cowboy doll who belongs to a young boy named Andy (John Morris), sees his position...",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney"
Trainspotting,1996,90,96122,"A brutal, often times funny, other times terrifying portrayal of drug addiction in Edinburgh. Not for the faint of heart, but well worth viewing as a realistic and entertaining reminder of the horrors of drug use.",Heroin addict Mark Renton (Ewan McGregor) stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy...,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd"
The Treasure of the Sierra Madre,1948,100,108369,"Remade but never duplicated, this darkly humorous morality tale represents John Huston at his finest.","In this classic adventure film, two rough-and-tumble wanderers, Dobbs (Humphrey Bogart) and Curtin (Tim Holt), meet up with a veteran...",John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett"
The Umbrellas of Cherbourg,1964,97,104657,"Jacques Demy elevates the basic drama of everyday life into a soaring opera full of bittersweet passion and playful charm, featuring a timeless performance from Catherine Deneuve.","Geneviève (Catherine Deneuve), a beautiful young Frenchwoman who works at a small-town boutique selling umbrellas, falls for dashing mechanic Guy...",Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel"
Uncut Gems,2019,91,109366,,A charismatic jeweler makes a high-stakes bet that could lead to the windfall of a lifetime. In a precarious high-wire...,Benny Safdie,"Adam Sandler, LaKeith Stanfield, Julia Fox, Kevin Garnett"
Unforgiven,1992,96,105964,"As both director and star, Clint Eastwood strips away decades of Hollywood varnish applied to the Wild West, and emerges with a series of harshly eloquent statements about the nature of violence.","When prostitute Delilah Fitzgerald (Anna Thomson) is disfigured by a pair of cowboys in Big Whiskey, Wyoming, her fellow brothel...",Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris"
